好,010111011100101111
茶,0011111111111110
小,11111111101111
菜,01111111111111
岁,11111111011111
电,01111111111111
出,1111111111111
我,1111111111111
面,1111111111111
对,1111111111111
谁,0111011111101
三,111111111111
吃,111111111111
了,111111111111
高,111110111111
住,11111111111
这,11111111111
老,11111111111
会,1111111111
喂,1111111111
漂,0111111111
不,1111111110
叫,0001111111
他,111111111
吗,111111111
先,111111111
些,111111111
八,111111111
书,111111111
饭,111111111
们,111111101
一,111110111
店,011111111
七,110111111
个,011111111
和,011111111
友,011111110
字,001101111
能,11111111
哪,11111111
朋,10111111
姐,01101111
喜,1111111
分,1111111
中,1111111
午,1111111
想,1111111
是,0111111
再,0111111
读,0011111
热,1110101
影,0001111
月,111111
的,111111
冷,011111
里,111011
四,011111
狗,011111
二,11111
钟,11111
块,11111
生,11111
少,11111
系,11111
话,11110
谢,01111
名,01111
师,1111
西,1111
妈,1111
坐,1111
去,1111
大,0111
兴,111
六,111
客,111
前,111
东,111
猫,111
太,111
打,101
视,011
现,011
脑,1
脆,
意,
删,
王,
蘑,
厅,
磅,
坪,
敦,
助,
昌,
兄,
帮,
愈,
堪,
舶,
描,
学,
奉,
无,
寿,
锐,
甚,
猩,
恭,
臭,
摇,
浴,
查,
床,
拌,
均,
林,
栋,
搬,
揽,
称,
曲,
览,
郎,
晴,
艾,
济,
诫,
华,
讶,
爹,
坟,
惹,
较,
员,
往,
贼,
状,
撬,
涌,
酌,
片,
厘,
钱,
告,
摄,
颖,
距,
滨,
滔,
抛,
翅,
谅,
膳,
衅,
链,
快,
桨,
帐,
鹅,
堵,
船,
口,
芭,
寥,
狼,
附,
繁,
惫,
网,
凉,
畅,
窄,
家,
下,
赔,
胎,
蹬,
穿,
驳,
琴,
聋,
篇,
逮,
瞻,
何,
访,
奥,
捕,
选,
骄,
界,
厚,
垃,
排,
葡,
躺,
遣,
喉,
枪,
筹,
文,
春,
嫉,
静,
侮,
讥,
只,
扭,
登,
泌,
媚,
明,
逞,
鸡,
反,
况,
循,
福,
险,
涩,
嚼,
酬,
歇,
闸,
携,
庇,
校,
搁,
抹,
稻,
情,
院,
惦,
诗,
肌,
翘,
忙,
叭,
拯,
财,
煎,
酥,
泪,
慌,
总,
奴,
阂,
疯,
晤,
犹,
齐,
差,
嬉,
赴,
逸,
约,
气,
稿,
那,
幕,
泥,
炮,
围,
墟,
架,
桂,
屠,
俱,
妻,
述,
么,
梨,
畔,
哨,
亦,
喊,
悉,
姓,
商,
招,
廓,
术,
机,
输,
辞,
挺,
石,
京,
议,
耸,
璃,
切,
怎,
始,
驾,
端,
署,
堕,
礼,
隶,
乏,
栓,
储,
岳,
十,
业,
祈,
捅,
氓,
睦,
挪,
扎,
唐,
租,
兢,
插,
贡,
竭,
伤,
残,
窒,
九,
歪,
纬,
楚,
赁,
逐,
从,
藏,
绰,
奔,
躁,
缠,
馈,
饥,
翻,
各,
耍,
跑,
铲,
朴,
把,
抱,
造,
悬,
声,
泽,
溶,
惭,
引,
乳,
剃,
赏,
蹲,
包,
辑,
男,
民,
撇,
度,
拢,
提,
沿,
暗,
慎,
猜,
孝,
理,
急,
炊,
奠,
隙,
滞,
复,
勾,
汪,
决,
问,
蚊,
捆,
绩,
瞩,
取,
怡,
鸭,
忧,
延,
塔,
卡,
疙,
胶,
迈,
夺,
呜,
枣,
伐,
体,
籍,
丽,
仿,
清,
瞪,
碟,
型,
腹,
甸,
触,
敞,
亮,
药,
匹,
舱,
川,
肠,
迟,
试,
银,
宠,
矢,
缩,
袋,
红,
需,
婚,
疲,
廷,
副,
侣,
杨,
膏,
庄,
辨,
具,
撑,
素,
禁,
赶,
伶,
湿,
僚,
暄,
经,
由,
疗,
淡,
帘,
捐,
零,
贷,
观,
鞭,
绣,
咬,
灶,
踩,
宵,
豪,
饼,
迸,
忆,
暑,
凹,
耐,
挽,
柬,
妇,
两,
秘,
进,
精,
尊,
浇,
劫,
嘲,
弟,
馒,
叨,
可,
叉,
悔,
语,
崖,
执,
旬,
杜,
泳,
蹈,
询,
抵,
厂,
倒,
数,
卦,
咐,
捣,
纸,
什,
咨,
逛,
乒,
彰,
估,
孔,
烫,
恼,
胸,
徐,
拴,
找,
部,
卑,
荐,
眶,
以,
诞,
尽,
匠,
拎,
糖,
身,
橱,
唠,
求,
佐,
浮,
裕,
手,
考,
坦,
育,
证,
头,
侈,
撤,
谬,
也,
织,
伞,
嗯,
与,
舔,
谱,
象,
俯,
棺,
碌,
胜,
慰,
鸽,
构,
般,
帕,
塌,
冤,
恨,
醮,
熊,
忍,
收,
肿,
抓,
仁,
咧,
镇,
岂,
瘟,
吝,
矩,
缴,
值,
厦,
留,
增,
方,
谦,
堡,
诬,
苏,
丘,
糙,
窟,
咏,
催,
泣,
父,
喘,
谋,
益,
捏,
担,
颠,
吭,
坝,
尚,
堤,
抬,
颇,
尔,
蕴,
胳,
窝,
撰,
躯,
庸,
脱,
捎,
音,
悠,
剑,
簇,
圣,
荒,
食,
拉,
敏,
贿,
膛,
峻,
慷,
荤,
职,
涂,
殊,
仰,
勤,
膜,
骨,
毯,
律,
鳄,
拓,
俗,
扳,
透,
场,
筋,
凡,
汽,
聊,
餐,
烛,
衣,
闭,
萨,
遍,
判,
彻,
仪,
领,
赤,
糕,
火,
抑,
军,
忠,
歼,
胆,
算,
缔,
瘫,
曰,
盯,
采,
槐,
骇,
舌,
挂,
柜,
刹,
蔚,
蜂,
微,
悼,
橡,
驯,
伸,
呆,
翁,
赛,
淆,
纹,
科,
美,
品,
讹,
祝,
董,
融,
爷,
很,
啡,
模,
徊,
潦,
椭,
恢,
股,
涕,
秽,
娱,
赃,
幻,
断,
利,
入,
猪,
齿,
驭,
殃,
嘿,
就,
薄,
荡,
简,
汛,
玄,
识,
胖,
晶,
宣,
熬,
袱,
攘,
拒,
愚,
负,
莲,
饪,
态,
偶,
百,
默,
脊,
晾,
运,
呼,
缸,
磨,
粹,
放,
阴,
滴,
梢,
免,
佑,
充,
谴,
毁,
贴,
消,
岸,
惕,
裹,
遵,
裂,
唾,
郑,
幽,
谐,
际,
慨,
该,
仲,
刀,
冬,
躲,
慈,
概,
坛,
肆,
武,
姜,
弈,
巡,
写,
纺,
私,
酗,
煌,
烁,
综,
减,
揣,
搅,
铁,
邪,
阵,
劝,
地,
活,
蜜,
菇,
尿,
味,
配,
御,
区,
逃,
阶,
羽,
恋,
狡,
颁,
哼,
搓,
皮,
奶,
参,
汰,
板,
毫,
猛,
避,
盒,
之,
舅,
磕,
嗦,
梯,
掷,
殴,
腾,
聚,
却,
痛,
戈,
置,
升,
速,
禾,
雇,
朝,
柄,
习,
稍,
瘦,
卷,
煽,
肩,
杂,
揪,
兵,
页,
续,
蒂,
啰,
肖,
言,
在,
斩,
羞,
趟,
挣,
干,
棍,
望,
佩,
背,
凿,
怕,
遂,
磊,
荣,
澄,
游,
死,
捉,
厉,
哈,
堂,
燃,
焊,
茫,
靶,
稽,
秃,
陡,
龟,
闷,
咽,
嗨,
着,
昏,
五,
赐,
宙,
蓄,
次,
虏,
瑰,
勿,
罕,
氛,
卉,
猾,
粗,
棚,
偷,
涛,
荫,
痴,
踊,
积,
朱,
慢,
牌,
为,
染,
剂,
妆,
曾,
账,
粮,
故,
丛,
拙,
浓,
宁,
失,
交,
缉,
掠,
拖,
泡,
陵,
聘,
券,
舒,
同,
驶,
渔,
感,
衫,
醉,
作,
遥,
册,
履,
蠢,
若,
泄,
逊,
细,
碗,
又,
廉,
潜,
溪,
黏,
舆,
且,
层,
露,
袜,
顽,
掩,
森,
功,
兼,
叮,
疫,
鬼,
苟,
柳,
养,
战,
耿,
厨,
穴,
星,
禅,
塞,
浆,
强,
绳,
羊,
浸,
呕,
炖,
沙,
树,
用,
废,
其,
宝,
水,
磁,
娇,
例,
寄,
俄,
洲,
绷,
阅,
衷,
世,
仅,
蹦,
崩,
敛,
贞,
沛,
伦,
鞋,
葱,
焰,
肇,
困,
怜,
惊,
溜,
粪,
讲,
虾,
毒,
词,
秒,
景,
轴,
杀,
尝,
略,
珠,
致,
化,
桥,
驮,
蓬,
够,
括,
叔,
摧,
脖,
井,
青,
套,
英,
钧,
凶,
旺,
批,
卵,
休,
器,
笔,
耻,
浪,
涉,
绿,
扫,
唱,
海,
旨,
课,
港,
嚏,
善,
腺,
瀑,
鼓,
左,
孪,
辛,
陷,
纱,
颂,
刻,
涝,
扮,
烈,
灵,
命,
项,
统,
贫,
壤,
纽,
蚂,
边,
响,
腔,
馅,
踏,
专,
趴,
衍,
枯,
窿,
严,
絮,
奖,
踢,
盗,
丁,
香,
甲,
半,
恒,
崛,
笛,
刨,
呐,
未,
郁,
晕,
拾,
咸,
肴,
稚,
蝴,
驰,
抄,
纠,
啃,
株,
晰,
衔,
啦,
祸,
孩,
虽,
天,
白,
慑,
迫,
熏,
跨,
园,
腰,
媳,
屋,
筝,
教,
途,
晒,
最,
有,
举,
惑,
厄,
亿,
踪,
巨,
哲,
鼻,
屑,
烂,
黄,
剔,
核,
壁,
站,
起,
照,
婿,
泛,
显,
绎,
害,
递,
闯,
炬,
渊,
粥,
雷,
嵌,
越,
自,
萍,
愣,
仗,
塑,
摊,
晋,
凑,
锲,
徘,
掉,
吨,
尺,
势,
衰,
贤,
辱,
佣,
报,
昔,
衡,
村,
神,
曝,
来,
牲,
票,
偿,
萧,
凝,
跤,
谤,
拽,
存,
吧,
隔,
雨,
它,
涵,
购,
至,
居,
碰,
